Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-06-29,1.5,-1.0952969819181522,-1.0952969819181522
2025-06-30,3.625,-0.4871059289851458,-0.4871059289851458
2025-07-01,7.375,0.5861723997201594,0.5861723997201594
2025-07-02,3.0,-0.66598565043603,-0.66598565043603
2025-07-04,3.25,-0.5944337618556763,-0.5944337618556763
2025-07-06,1.375,-1.131072926208329,-1.131072926208329
2025-07-07,4.25,-0.3082262075342616,-0.3082262075342616
2025-07-08,3.125,-0.6302097061458531,-0.6302097061458531
2025-07-09,6.375,0.29996484539874474,0.29996484539874474
2025-07-10,2.875,-0.7017615947262068,-0.7017615947262068
2025-07-11,4.0,-0.37977809611461527,-0.37977809611461527
2025-07-13,0.0,-1.5246083134002741,-1.5246083134002741
2025-07-14,3.125,-0.6302097061458531,-0.6302097061458531
2025-07-17,4.25,-0.3082262075342616,-0.3082262075342616
2025-07-18,3.375,-0.5586578175654995,-0.5586578175654995
2025-07-21,4.25,-0.3082262075342616,-0.3082262075342616
2025-07-22,4.5,-0.2366743189539079,-0.2366743189539079
2025-07-23,3.875,-0.4155540404047921,-0.4155540404047921
2025-07-24,4.0,-0.37977809611461527,-0.37977809611461527
2025-07-25,2.875,-0.7017615947262068,-0.7017615947262068
2025-07-28,2.875,-0.7017615947262068,-0.7017615947262068
2025-07-29,5.625,0.08530917965768367,0.08530917965768367
2025-08-03,0.0,-1.5246083134002741,-1.5246083134002741
2025-08-04,4.625,-0.20089837466373106,-0.20089837466373106
2025-08-05,2.875,-0.7017615947262068,-0.7017615947262068
2025-08-06,0.875,-1.2741767033690363,-1.2741767033690363
