Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-19,2.75,-0.35179336914482173,-0.35179336914482173
2025-05-20,5.25,0.6081851466571495,0.6081851466571495
2025-05-21,3.0,-0.25579551756462465,-0.25579551756462465
2025-05-22,2.75,-0.35179336914482173,-0.35179336914482173
2025-05-25,5.0,0.5121872950769524,0.5121872950769524
2025-05-26,3.25,-0.15979766598442752,-0.15979766598442752
2025-05-27,3.0,-0.25579551756462465,-0.25579551756462465
2025-05-28,6.5,1.088174404558135,1.088174404558135
2025-06-01,4.0,0.12819588875616386,0.12819588875616386
2025-06-02,2.25,-0.543789072305216,-0.543789072305216
2025-06-03,1.75,-0.7357847754656103,-0.7357847754656103
2025-06-04,2.25,-0.543789072305216,-0.543789072305216
2025-06-05,1.5,-0.8317826270458074,-0.8317826270458074
2025-06-08,3.0,-0.25579551756462465,-0.25579551756462465
2025-06-09,2.5,-0.44779122072501887,-0.44779122072501887
2025-06-10,2.5,-0.44779122072501887,-0.44779122072501887
2025-06-15,4.0,0.12819588875616386,0.12819588875616386
2025-06-16,3.75,0.03219803717596673,0.03219803717596673
2025-06-17,3.25,-0.15979766598442752,-0.15979766598442752
2025-06-18,3.25,-0.15979766598442752,-0.15979766598442752
2025-06-19,1.75,-0.7357847754656103,-0.7357847754656103
2025-06-22,5.25,0.6081851466571495,0.6081851466571495
2025-06-23,2.25,-0.543789072305216,-0.543789072305216
2025-06-24,1.25,-0.9277804786260044,-0.9277804786260044
2025-06-25,2.75,-0.35179336914482173,-0.35179336914482173
2025-06-29,2.5,-0.44779122072501887,-0.44779122072501887
2025-06-30,3.0,-0.25579551756462465,-0.25579551756462465
2025-07-01,1.5,-0.8317826270458074,-0.8317826270458074
2025-07-02,2.5,-0.44779122072501887,-0.44779122072501887
2025-07-06,2.0,-0.6397869238854131,-0.6397869238854131
2025-07-07,2.0,-0.6397869238854131,-0.6397869238854131
2025-07-08,1.75,-0.7357847754656103,-0.7357847754656103
2025-07-09,2.5,-0.44779122072501887,-0.44779122072501887
2025-07-10,2.75,-0.35179336914482173,-0.35179336914482173
2025-07-13,0.0,-1.4077697365269901,-1.4077697365269901
2025-07-14,2.25,-0.543789072305216,-0.543789072305216
2025-07-17,2.25,-0.543789072305216,-0.543789072305216
2025-07-21,1.5,-0.8317826270458074,-0.8317826270458074
2025-07-22,2.0,-0.6397869238854131,-0.6397869238854131
2025-07-23,2.0,-0.6397869238854131,-0.6397869238854131
2025-07-24,1.25,-0.9277804786260044,-0.9277804786260044
2025-07-27,0.0,-1.4077697365269901,-1.4077697365269901
2025-07-28,0.5,-1.2157740333665958,-1.2157740333665958
