Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-19,4.5,-0.37160437787591666,-0.37160437787591666
2025-05-20,10.0,0.5390356369939766,0.5390356369939766
2025-05-21,6.0,-0.1232480101841276,-0.1232480101841276
2025-05-22,4.5,-0.37160437787591666,-0.37160437787591666
2025-05-25,8.5,0.2906792693021875,0.2906792693021875
2025-05-26,6.5,-0.040462554286864565,-0.040462554286864565
2025-05-27,7.0,0.04232290161039846,0.04232290161039846
2025-05-28,12.5,0.9529629164802917,0.9529629164802917
2025-06-01,16.0,1.532461107761133,1.532461107761133
2025-06-02,11.5,0.7873920046857656,0.7873920046857656
2025-06-03,4.0,-0.4543898337731797,-0.4543898337731797
2025-06-04,5.0,-0.28881892197865366,-0.28881892197865366
2025-06-05,3.0,-0.6199607455677058,-0.6199607455677058
2025-06-08,5.5,-0.20603346608139061,-0.20603346608139061
2025-06-09,4.5,-0.37160437787591666,-0.37160437787591666
2025-06-10,5.5,-0.20603346608139061,-0.20603346608139061
2025-06-15,8.5,0.2906792693021875,0.2906792693021875
2025-06-16,6.5,-0.040462554286864565,-0.040462554286864565
2025-06-17,6.5,-0.040462554286864565,-0.040462554286864565
2025-06-18,4.5,-0.37160437787591666,-0.37160437787591666
2025-06-19,4.5,-0.37160437787591666,-0.37160437787591666
2025-06-22,12.0,0.8701774605830287,0.8701774605830287
2025-06-23,4.5,-0.37160437787591666,-0.37160437787591666
2025-06-24,2.5,-0.7027462014649688,-0.7027462014649688
2025-06-25,5.5,-0.20603346608139061,-0.20603346608139061
2025-06-29,6.0,-0.1232480101841276,-0.1232480101841276
2025-06-30,7.5,0.12510835750766147,0.12510835750766147
2025-07-01,3.5,-0.5371752896704427,-0.5371752896704427
2025-07-02,5.5,-0.20603346608139061,-0.20603346608139061
2025-07-06,4.5,-0.37160437787591666,-0.37160437787591666
2025-07-07,4.5,-0.37160437787591666,-0.37160437787591666
2025-07-08,3.5,-0.5371752896704427,-0.5371752896704427
2025-07-09,5.0,-0.28881892197865366,-0.28881892197865366
2025-07-10,6.0,-0.1232480101841276,-0.1232480101841276
2025-07-13,0.0,-1.116673480951284,-1.116673480951284
2025-07-14,3.5,-0.5371752896704427,-0.5371752896704427
2025-07-21,4.0,-0.4543898337731797,-0.4543898337731797
2025-07-22,5.5,-0.20603346608139061,-0.20603346608139061
2025-07-23,4.0,-0.4543898337731797,-0.4543898337731797
2025-07-24,3.5,-0.5371752896704427,-0.5371752896704427
2025-07-27,0.0,-1.116673480951284,-1.116673480951284
2025-07-28,3.5,-0.5371752896704427,-0.5371752896704427
2025-07-29,2.0,-0.7855316573622317,-0.7855316573622317
2025-08-03,0.0,-1.116673480951284,-1.116673480951284
2025-08-04,3.5,-0.5371752896704427,-0.5371752896704427
2025-08-05,1.5,-0.8683171132594948,-0.8683171132594948
