Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-27,7.5,-0.8649443092391702,-0.8649443092391702
2025-04-28,17.5,0.03335074785229446,0.03335074785229446
2025-04-29,21.5,0.3926687706888803,0.3926687706888803
2025-05-01,24.5,0.6621572878163197,0.6621572878163197
2025-05-04,9.5,-0.6852852978208772,-0.6852852978208772
2025-05-05,17.5,0.03335074785229446,0.03335074785229446
2025-05-06,17.0,-0.011564005002278773,-0.011564005002278773
2025-05-07,15.0,-0.19122301642057168,-0.19122301642057168
2025-05-08,21.5,0.3926687706888803,0.3926687706888803
2025-05-09,10.5,-0.5954557921117307,-0.5954557921117307
2025-05-11,4.0,-1.1793475792211827,-1.1793475792211827
2025-05-12,15.0,-0.19122301642057168,-0.19122301642057168
2025-05-14,19.5,0.21300975927058738,0.21300975927058738
2025-05-16,24.0,0.6172425349617464,0.6172425349617464
2025-05-18,12.0,-0.4607115335480111,-0.4607115335480111
2025-05-19,28.5,1.0214753106529055,1.0214753106529055
2025-05-20,23.0,0.5274130292526,0.5274130292526
2025-05-21,26.5,0.8418162992346127,0.8418162992346127
2025-05-22,25.0,0.7070720406708929,0.7070720406708929
2025-05-23,20.0,0.2579245121251606,0.2579245121251606
2025-05-25,8.5,-0.7751148035300237,-0.7751148035300237
2025-05-26,19.0,0.16809500641601416,0.16809500641601416
2025-05-27,15.0,-0.19122301642057168,-0.19122301642057168
2025-05-28,21.5,0.3926687706888803,0.3926687706888803
2025-06-01,16.0,-0.10139351071142523,-0.10139351071142523
2025-06-02,19.5,0.21300975927058738,0.21300975927058738
2025-06-03,20.5,0.30283926497973385,0.30283926497973385
2025-06-04,29.5,1.111304816362052,1.111304816362052
2025-06-05,16.0,-0.10139351071142523,-0.10139351071142523
2025-06-08,5.5,-1.044603320657463,-1.044603320657463
2025-06-09,13.0,-0.3708820278388646,-0.3708820278388646
2025-06-10,11.0,-0.5505410392571576,-0.5505410392571576
2025-06-13,31.5,1.290963827780345,1.290963827780345
2025-06-15,8.5,-0.7751148035300237,-0.7751148035300237
2025-06-16,16.5,-0.056478757856852004,-0.056478757856852004
2025-06-17,18.0,0.07826550070686769,0.07826550070686769
2025-06-18,15.5,-0.14630826356599846,-0.14630826356599846
2025-06-19,10.5,-0.5954557921117307,-0.5954557921117307
2025-06-20,17.5,0.03335074785229446,0.03335074785229446
2025-06-22,12.0,-0.4607115335480111,-0.4607115335480111
2025-06-23,23.0,0.5274130292526,0.5274130292526
2025-06-24,18.0,0.07826550070686769,0.07826550070686769
2025-06-25,15.5,-0.14630826356599846,-0.14630826356599846
2025-06-29,6.0,-0.9996885678028898,-0.9996885678028898
2025-06-30,22.5,0.4824982763980268,0.4824982763980268
2025-07-01,18.5,0.12318025356144091,0.12318025356144091
2025-07-02,17.0,-0.011564005002278773,-0.011564005002278773
2025-07-04,8.5,-0.7751148035300237,-0.7751148035300237
2025-07-06,4.5,-1.1344328263666095,-1.1344328263666095
2025-07-07,20.5,0.30283926497973385,0.30283926497973385
2025-07-08,13.5,-0.3259672749842914,-0.3259672749842914
2025-07-09,23.0,0.5274130292526,0.5274130292526
