Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-05,16.0,1.5005764330884683,1.5005764330884683
2025-03-06,10.25,0.3687978224675049,0.3687978224675049
2025-03-09,4.0,-0.8613963195118032,-0.8613963195118032
2025-03-10,17.25,1.74661526148433,1.74661526148433
2025-03-11,13.25,0.9592910106175728,0.9592910106175728
2025-03-14,5.75,-0.5169419597575969,-0.5169419597575969
2025-03-16,3.5,-0.9598118508701479,-0.9598118508701479
2025-03-17,8.0,-0.074072068645046,-0.074072068645046
2025-03-18,7.5,-0.17248760000339064,-0.17248760000339064
2025-03-19,11.25,0.5656288851841942,0.5656288851841942
2025-03-20,8.5,0.024343462713298663,0.024343462713298663
2025-03-21,6.5,-0.36931866272007996,-0.36931866272007996
2025-03-23,3.0,-1.0582273822284924,-1.0582273822284924
2025-03-24,7.5,-0.17248760000339064,-0.17248760000339064
2025-03-25,8.0,-0.074072068645046,-0.074072068645046
2025-03-26,5.25,-0.6153574911159415,-0.6153574911159415
2025-03-30,5.75,-0.5169419597575969,-0.5169419597575969
2025-03-31,9.25,0.17196675975081563,0.17196675975081563
2025-04-01,7.75,-0.12327983432421831,-0.12327983432421831
2025-04-02,25.75,3.419679294576189,3.419679294576189
2025-04-03,17.25,1.74661526148433,1.74661526148433
2025-04-04,20.25,2.337108449634398,2.337108449634398
2025-04-06,14.75,1.254537604692607,1.254537604692607
2025-04-07,38.25,5.880067578534805,5.880067578534805
2025-04-08,32.5,4.748288967913842,4.748288967913842
2025-04-09,19.5,2.189485152596881,2.189485152596881
2025-04-13,9.25,0.17196675975081563,0.17196675975081563
2025-04-14,16.25,1.5497841987676408,1.5497841987676408
2025-04-15,11.5,0.6148366508633666,0.6148366508633666
2025-04-16,10.25,0.3687978224675049,0.3687978224675049
2025-04-17,6.25,-0.41852642839925225,-0.41852642839925225
2025-04-20,2.5,-1.1566429135868372,-1.1566429135868372
2025-04-21,9.75,0.2703822911091603,0.2703822911091603
2025-04-22,8.0,-0.074072068645046,-0.074072068645046
2025-04-23,11.5,0.6148366508633666,0.6148366508633666
2025-04-24,8.0,-0.074072068645046,-0.074072068645046
2025-04-25,9.75,0.2703822911091603,0.2703822911091603
2025-04-27,2.25,-1.2058506792660095,-1.2058506792660095
2025-04-28,10.5,0.41800558814667726,0.41800558814667726
2025-04-29,9.75,0.2703822911091603,0.2703822911091603
2025-05-01,14.5,1.2053298390134344,1.2053298390134344
2025-05-04,3.5,-0.9598118508701479,-0.9598118508701479
2025-05-05,8.5,0.024343462713298663,0.024343462713298663
2025-05-06,8.5,0.024343462713298663,0.024343462713298663
2025-05-07,9.0,0.12275899407164331,0.12275899407164331
2025-05-08,12.5,0.8116677135800558,0.8116677135800558
2025-05-09,5.0,-0.6645652567951139,-0.6645652567951139
2025-05-11,2.0,-1.2550584449451818,-1.2550584449451818
2025-05-12,9.0,0.12275899407164331,0.12275899407164331
