Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-14,0.5,-0.5996947635013528,-0.5996947635013528
2025-05-16,0.9375,-0.2128053513532783,-0.2128053513532783
2025-05-19,1.0625,-0.1022655193109713,-0.1022655193109713
2025-05-20,0.8125,-0.3233451833955853,-0.3233451833955853
2025-05-21,0.75,-0.3786150994167388,-0.3786150994167388
2025-05-22,0.625,-0.4891549314590458,-0.4891549314590458
2025-05-23,0.5,-0.5996947635013528,-0.5996947635013528
2025-05-26,0.5,-0.5996947635013528,-0.5996947635013528
2025-05-27,0.3125,-0.7655045115648133,-0.7655045115648133
2025-05-28,5.0,3.379739190021699,3.379739190021699
2025-06-02,5.5625,3.877168434212081,3.877168434212081
2025-06-03,0.75,-0.3786150994167388,-0.3786150994167388
2025-06-04,0.6875,-0.4338850154378923,-0.4338850154378923
2025-06-05,0.5,-0.5996947635013528,-0.5996947635013528
2025-06-09,0.375,-0.7102345955436598,-0.7102345955436598
2025-06-10,1.0,-0.1575354353321248,-0.1575354353321248
2025-06-13,2.0625,0.7820531370274847,0.7820531370274847
2025-06-16,1.125,-0.0469956032898178,-0.0469956032898178
2025-06-17,0.8125,-0.3233451833955853,-0.3233451833955853
2025-06-18,0.875,-0.26807526737443177,-0.26807526737443177
2025-06-19,0.375,-0.7102345955436598,-0.7102345955436598
2025-06-20,0.93896484375,-0.21150996269653252,-0.21150996269653252
2025-06-23,0.6875,-0.4338850154378923,-0.4338850154378923
2025-06-24,1.0,-0.1575354353321248,-0.1575354353321248
2025-06-25,0.625,-0.4891549314590458,-0.4891549314590458
2025-06-30,0.9375,-0.2128053513532783,-0.2128053513532783
2025-07-01,0.8125,-0.3233451833955853,-0.3233451833955853
2025-07-02,0.625,-0.4891549314590458,-0.4891549314590458
2025-07-04,0.75,-0.3786150994167388,-0.3786150994167388
2025-07-07,0.625,-0.4891549314590458,-0.4891549314590458
2025-07-08,0.8125,-0.3233451833955853,-0.3233451833955853
2025-07-09,0.5625,-0.5444248474801993,-0.5444248474801993
2025-07-10,0.5,-0.5996947635013528,-0.5996947635013528
2025-07-11,0.75,-0.3786150994167388,-0.3786150994167388
2025-07-14,0.4375,-0.6549646795225063,-0.6549646795225063
2025-07-17,0.5625,-0.5444248474801993,-0.5444248474801993
2025-07-18,0.4375,-0.6549646795225063,-0.6549646795225063
2025-07-21,1.0,-0.1575354353321248,-0.1575354353321248
2025-07-22,0.5625,-0.5444248474801993,-0.5444248474801993
2025-07-23,0.375,-0.7102345955436598,-0.7102345955436598
2025-07-24,0.375,-0.7102345955436598,-0.7102345955436598
2025-07-25,0.5625,-0.5444248474801993,-0.5444248474801993
2025-07-28,0.1875,-0.8760443436071202,-0.8760443436071202
